unigram	frequency
laughter	9
enter	9
plan	9
lair	9
kinsmen	9
badly	9
eight	9
dreams	9
scar	9
fawn	9
fountained	9
ivory	9
winter	9
memory	9
insult	9
tells	9
drag	9
peak	9
protection	9
pylians	9
quantity	9
springing	9
closely	9
temples	9
hovered	9
showing	9
kindly	9
falcon	9
gateway	9
wondrous	9
staying	9
eleven	9
throne	9
quarters	9
grace	9
sacred	9
boon	9
smooth	9
depths	9
pole	9
especially	9
fault	9
plunged	9
fields	9
proper	9
evening	9
rejoice	9
guided	9
raising	9
grows	9
bulls	9
runner	9
spreading	9
haired	9
grapes	9
taller	9
peneleos	9
urn	9
euphorbus	9
phemius	9
travelled	9
reigned	9
actor	9
native	9
comfortable	9
wallet	9
vast	9
abide	9
ruled	9
scared	9
cicons	9
least	9
counselled	9
ordered	9
twisted	9
delivered	9
attacking	9
henceforward	9
angrily	9
striking	9
punish	9
stakes	9
telling	9
heap	9
forty	9
strife	9
crossed	9
receive	9
dazed	9
lust	9
trembled	9
javelin	9
sick	9
coast	9
messengers	9
foam	9
aldermen	9
nectar	9
everlasting	9
befall	9
heretofore	9
range	9
stock	9
meantime	9
roasted	9
muses	9
mound	9
avoided	9
powerful	9
farm	9
squires	9
wherein	9
hurl	9
manage	9
rocky	9
behalf	9
reaches	9
lots	9
stag	9
hawsers	9
flower	9
hardest	9
bright	9
gleamed	9
fulfilled	9
accomplished	9
nostrils	9
fathers	9
extreme	9
blast	9
ball	9
cost	9
uprose	9
iphitus	9
pour	9
clothed	9
ceased	9
pressing	9
hated	8
music	8
managed	8
suppliants	8
ambuscade	8
pick	8
doings	8
wings	8
sounding	8
path	8
andromache	8
glared	8
beam	8
adrestus	8
whirlwind	8
fetched	8
endurance	8
lower	8
chains	8
countless	8
hecuba	8
covenants	8
scales	8
precious	8
sallied	8
exceedingly	8
cowardly	8
hurricane	8
aid	8
minos	8
clutched	8
claim	8
reign	8
protesilaus	8
bloody	8
reared	8
losing	8
plumes	8
overtake	8
laying	8
deucalion	8
handled	8
fighters	8
melanippus	8
army	8
beasts	8
darling	8
watching	8
courtyard	8
facing	8
fare	8
liver	8
pouring	8
provide	8
carries	8
turmoil	8
approved	8
beds	8
enamoured	8
listened	8
fenced	8
sailing	8
consult	8
thrace	8
begins	8
flaming	8
perfectly	8
intent	8
chromius	8
month	8
admired	8
goods	8
bless	8
passion	8
heal	8
suppers	8
add	8
hang	8
elders	8
fairly	8
begun	8
suit	8
mouths	8
senses	8
monstrous	8
brandishing	8
